Address,Point,Name,Value,Time
33,0,50A CT5 Makeup,2053508.0,2019-07-19 22:39:38
33,1,50A CT5 Makeup Rate,3.1,2019-07-19 22:39:38
33,2,50A CT5 Makeup Instantaneous,3.2,2019-07-19 22:39:38
33,3,50A CT5 Makeup Min,2.97,2019-07-19 22:39:38
33,4,50A CT5 Makeup Max,3.2,2019-07-19 22:39:38
33,5,50A CT6 Makeup,87003.0,2019-07-19 22:39:38
33,6,50A CT6 Makeup Rate,0.0,2019-07-19 22:39:38
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-19 22:39:38
33,8,50A CT6 Makeup Min,0.0,2019-07-19 22:39:38
33,9,50A CT6 Makeup Max,0.0,2019-07-19 22:39:38
33,0,50A CT5 Makeup,2053539.0,2019-07-19 22:49:17
33,1,50A CT5 Makeup Rate,3.2,2019-07-19 22:49:17
33,2,50A CT5 Makeup Instantaneous,3.5,2019-07-19 22:49:17
33,3,50A CT5 Makeup Min,3.33,2019-07-19 22:49:17
33,4,50A CT5 Makeup Max,3.5,2019-07-19 22:49:17
33,5,50A CT6 Makeup,87003.0,2019-07-19 22:49:17
33,6,50A CT6 Makeup Rate,0.0,2019-07-19 22:49:17
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-19 22:49:17
33,8,50A CT6 Makeup Min,0.0,2019-07-19 22:49:17
33,9,50A CT6 Makeup Max,0.0,2019-07-19 22:49:17
33,0,50A CT5 Makeup,2053558.0,2019-07-19 22:55:30
33,1,50A CT5 Makeup Rate,3.1,2019-07-19 22:55:30
33,2,50A CT5 Makeup Instantaneous,3.0,2019-07-19 22:55:30
33,3,50A CT5 Makeup Min,2.68,2019-07-19 22:55:30
33,4,50A CT5 Makeup Max,3.3,2019-07-19 22:55:30
33,5,50A CT6 Makeup,87004.0,2019-07-19 22:55:30
33,6,50A CT6 Makeup Rate,0.2,2019-07-19 22:55:30
33,7,50A CT6 Makeup Instantaneous,0.0,2019-07-19 22:55:30
33,8,50A CT6 Makeup Min,0.0,2019-07-19 22:55:30
